content,score,at
"bug: new updates in-lesson streak UI, green Bolt, duo jumping etc, make it impossible to re listen to the lesson, or click on a word to rehear after the lesson. Also have to completly close out of the APP when i open it, cause its just a blank screen on first open, minimizing the APP now kicks me out of the lesson, ... welcome to our scrappy AI overlords. holy bugs. From 10 am to 10pm regained 0 hearts (due to the reopen it into blank screen and force closing it and restart the app). Nice stuff",1,2025-08-16 22:40:54
this thing ressetted my 90765 day streek.I hate this stuipid duolingo thing.,1,2025-08-16 15:47:42
"What's happened with the animation after validation after last update, how to turn it off?? I've already disabled all animations in Duolingo settings!!!",3,2025-08-16 11:29:07
"please don't immediately stop the speaking lessons just because you can understand what I am saying. I want to try again. don't go to ""let's try again in another 15 minutes"". I want to try it again immediately. I thought that's how we should learn, try again when we fails. are you mocked me thinks I'm giving up just because I fail once? I know this review will never be read by Duolingo. just like any other company that think rating are just a promotion tactics and unnecessary to them.",1,2025-08-15 20:11:03
"Indonesia → English, pas unit 1 bagus, tapi pas unit 2 chapter 15 seterusnya pentunjuk banyak banget yang ngawur,salah total, ilang. tolong diperbaiki lah. niatnya mau belajar eh pas lupa terus petunjuknya ilang kan jadi terpaksa harus salah. alhasil harus nonton iklan buat nambahin hatinya, cuma gara² kesalahan gini, buang² waktu banget.",1,2025-08-15 17:22:33
Excellent,5,2025-08-15 11:20:38
I love this app,5,2025-08-13 22:20:11
Duolingo is helping me with my Spanish and my french that has been teaching me a lot of new words,5,2025-08-13 22:19:53
i lowkey hate this app im currently on a 774 day streak and I hate every day of it. i havent learned the language in fact this app makes you think you are learning it when you are far better off reading a book and writing a personal vocabulary from it. but this app makes you avoid working giving you the impression you are doing something anyway. the only reason i havent uninstalled it is because i am addicted to big numbers OH did i mention the company fired all their employees for an AI,1,2025-08-11 23:17:50
"I gave up on polish because of this app, it expected me to know all the grammar rules. For japanese however, it explains everything perfectly before a lesson starts when introducing new factors to the language's grammar. I just wish we could learn more kanji than 一、二、 and 三 considering I'm on unit 2. vocaloids songs taught me more japanese to be honest, but this app helps with the grammar and I like the way it teaches hiragana, katakana, and kanji. どうもありがとう。 edit: I found the issue on the kanji-",4,2025-08-11 01:03:37
😄😄😄,3,2025-08-09 00:23:37
Thanks a lot,5,2025-08-08 01:36:00
"In general good app to start learning a language but experience on Android app is terrible for some time now. The rewards and XP system sometimes is working sontimes not, listening lessons get randomly disabled, missing translations, no option to rearrange words in word bank exercises (on iOS it's possible). Once my premium ends I'm done with this app.",1,2025-08-07 00:15:07
"I tried this app for a few months, and ultimately learnt nothing but a few words like how to say cat. The app never reinforced those lessons. I recently went back on my courses, and found i didn't understand most, or guessed my answer based on the buttons. Furthermore, i cannot in any way support being AI first, replacing human written courses by AI slop. I wanted to learn, but ended up just wasting time, and making a fool of myself when trying to use said language in any amount.",1,2025-08-06 20:34:27
Duolingo is useless as a free app with its new energy system. They've basically said leave or pay up.,1,2025-08-05 23:31:35
"Low quality app that doesn't actually help with language learning, just yet another annoying app with streaks and micro transactions, and especially after they announced that the company would be AI first, it'd probably be better to learn by talking to a brick wall. Try watching kids shows in the language you wanna learn instead, way more effective, and also relatively free.",1,2025-08-05 20:27:32
"Not good at teaching languages, FIRED employees just to implement AI, I hate how worse it got since then, and the worst thing that just appeared is ""energy "" intead of hearts which I despise. The pronunciation is kinda bad because they dont have humans actually talking, just bad ai voices, the lessons became longer; my boyfriend was doing my mother tongue and the sentences were absolute trash/incorrect, also very pushy ab rating so here you have it. I'll stop using the app, it's gotten so bad",1,2025-08-04 23:28:53
"I like the app, learning Japanese with it pretty well. Unfortunately the trial period could not be activated for me, the support could not confirm if I have a subscription open now, did not address my issue at all and I still cannot use the free trial period for max. #bug",3,2025-08-04 23:01:48
best language learning app ever! I recommend! 5 stars! ⭐️⭐️⭐️⭐️⭐️,5,2025-08-03 22:50:43
"Gets way too repetitive, not to mention the AI slop that this horrible company has implemented",1,2025-08-03 04:04:52
removes itself from the main screen,3,2025-07-31 23:31:10
"The Chinese course (and most other courses) are pretty undeveloped so you can't get that far in the language unless it's Spanish Fr*nch German or English. It's fun and somewhat effective but there are things it expects you to know that it doesn't teach you. For example, in the Chinese course (which is the one I'm taking), it doesn't teach you tone rules even though they're really important. Also Duolingo is replacing a ton of workers with Artificial intelligence. But that's all the bad side.",2,2025-07-30 22:56:39
"If you're tired of this app with ads and features blocked behind a paywall, you can use Duolingo Revanced instead, which is a better and free alternative. Cheers!",1,2025-07-25 11:40:57
This is nice app to learn languages,5,2025-07-21 11:38:55
duolingo is very nice I like it very much I'm getting to know Korean coz one day I'm travelling the world,5,2025-07-21 11:38:18
Good,5,2025-07-21 11:37:44
super app,5,2025-07-21 11:37:30
easy learning frrr i highly recommend,5,2025-07-21 11:36:55
Extremely good,5,2025-07-21 11:36:40
it's fun and new things to learn ✨️ I Love it,5,2025-07-21 11:34:54
Ever since the newest update it has been glitching out. The sound for the listening lessons is wonky and the speech portion cuts you off before you even finish the second word.,3,2025-07-21 11:34:13
I'd have never guessed that it's possible to cram so many animations in. If you keep this up the next version will have to include an epilepsy warning. If there was at least a way to turn them off.,5,2025-07-21 11:32:41
excellent,5,2025-07-21 11:32:15
"Elo dere, i spek anglesh du tu duolingo!! I veri appy!!! Veri god ap! Duolingo supir supir god :D",3,2025-07-21 11:32:03
This is very nice app,5,2025-07-21 11:30:11
nice aap,5,2025-07-21 11:26:53
e bellissimo,4,2025-07-21 11:26:50
nice,5,2025-07-21 11:25:55
"I just started to learn Japanese, and I liked the tutorials and challenges. It's just amazing to learn any foreign language 😌😌 5 stars from me 🌟🌟🌟🌟🌟",5,2025-07-21 11:24:51
I. like this. app,5,2025-07-21 11:23:41
"l like the exercises because it builds on what you're learning. However, I suck at speaking Spanish!!",5,2025-07-21 11:23:19
very great to app to learn new words,5,2025-07-21 11:23:02
it is very very very good app ko learning languages I love it it is very useful for traveling,5,2025-07-21 11:22:38
Awesome,5,2025-07-21 11:21:32
good,4,2025-07-21 11:21:24
so easy questions but fun,3,2025-07-21 11:20:55
nice 👏😊 app,5,2025-07-21 11:18:15
"Hallo, ich bin Sky, und du bist sehr nett😀",5,2025-07-21 11:17:35
it's so good 👍,5,2025-07-21 11:17:34
This app is amazing.,5,2025-07-21 11:16:52
best app for learning different languages,5,2025-07-21 11:15:32
everyone and every leader must download this app. it's beyond amazing,5,2025-07-21 11:14:25
This app teaches you everything you need,5,2025-07-21 11:12:56
super app,5,2025-07-21 11:12:04
this is a excelente opportunity peoples like us.,5,2025-07-21 11:11:57
please change ads except from that it's the best app,5,2025-07-21 11:10:22
love it,5,2025-07-21 11:10:20
"Really nice, I'm progressing well learning Spanish. Wow",5,2025-07-21 11:09:34
Duolingo is too useful. You can use it without any doubt.,5,2025-07-21 11:08:19
انا احب دولونجو لأنه ساعدني على تعلم اللغه الانجليزيه,5,2025-07-21 11:08:05
super,5,2025-07-21 11:07:52
"This program is great but to help kids get better at speaking a different language, just give them unlimited hearts and all the things that Super has. 👌",4,2025-07-21 11:07:33
bagus,5,2025-07-21 11:07:31
this is so nice app. and exciting all future. thanks a lot duolingo.,5,2025-07-21 11:06:38
nice practice app,4,2025-07-21 11:06:20
Best app ever l might finally get to speak French,5,2025-07-21 11:03:53
duolingo app is super super super super!!! this app is better than other apps thanks. your are so much good 👍🏽 you understand the Hindi so I am speak in Hindi ok Mareko YouTube se pata chala hai ki duolingo naam ka bhi koi app hota hai 😅 nahi to mujhe to pata hi nahi chalta duolingo app ek bahut jyada acha app hai 👏🏽 thank you 🙏🏽,5,2025-07-21 11:02:37
is the vest app! I'm greek and I started English to know more thinks! and yes I learn ●^●,5,2025-07-21 10:59:27
luv it,3,2025-07-21 10:56:56
excellent,5,2025-07-21 10:54:10
very good 👍 👏 👌 😀,5,2025-07-21 10:51:07
i ❤ it,5,2025-07-21 10:50:29
amazing I was learning Japanese and learnt it so fast and fluently,5,2025-07-21 10:50:15
good,3,2025-07-21 10:49:41
good app,5,2025-07-21 10:49:36
learning is absolutely good,5,2025-07-21 10:48:20
this is very good app for students and adults it's give us very quiet and perfect English practice or other language so in my opinion it is to good for us thank you Duolingo go app for giving us the knowledge,5,2025-07-21 10:47:55
