content,clean_content
"bug: new updates in-lesson streak UI, green Bolt, duo jumping etc, make it impossible to re listen to the lesson, or click on a word to rehear after the lesson. Also have to completly close out of the APP when i open it, cause its just a blank screen on first open, minimizing the APP now kicks me out of the lesson, ... welcome to our scrappy AI overlords. holy bugs. From 10 am to 10pm regained 0 hearts (due to the reopen it into blank screen and force closing it and restart the app). Nice stuff",bug new updates inlesson streak ui green bolt duo jumping etc make impossible listen lesson click word rehear lesson also completly close app open cause blank screen first open minimizing app kicks lesson welcome scrappy ai overlords holy bugs pm regained hearts due reopen blank screen force closing restart app nice stuff
this thing ressetted my 90765 day streek.I hate this stuipid duolingo thing.,thing ressetted day streeki hate stuipid duolingo thing
"What's happened with the animation after validation after last update, how to turn it off?? I've already disabled all animations in Duolingo settings!!!",whats happened animation validation last update turn ive already disabled animations duolingo settings
"please don't immediately stop the speaking lessons just because you can understand what I am saying. I want to try again. don't go to ""let's try again in another 15 minutes"". I want to try it again immediately. I thought that's how we should learn, try again when we fails. are you mocked me thinks I'm giving up just because I fail once? I know this review will never be read by Duolingo. just like any other company that think rating are just a promotion tactics and unnecessary to them.",please dont immediately stop speaking lessons understand saying want try dont go lets try another minutes want try immediately thought thats learn try fails mocked thinks im giving fail know review never read duolingo like company think rating promotion tactics unnecessary
I love this app,love app
Duolingo is helping me with my Spanish and my french that has been teaching me a lot of new words,duolingo helping spanish french teaching lot new words
i lowkey hate this app im currently on a 774 day streak and I hate every day of it. i havent learned the language in fact this app makes you think you are learning it when you are far better off reading a book and writing a personal vocabulary from it. but this app makes you avoid working giving you the impression you are doing something anyway. the only reason i havent uninstalled it is because i am addicted to big numbers OH did i mention the company fired all their employees for an AI,lowkey hate app im currently day streak hate every day havent learned language fact app makes think learning far better reading book writing personal vocabulary app makes avoid working giving impression something anyway reason havent uninstalled addicted big numbers oh mention company fired employees ai
"I gave up on polish because of this app, it expected me to know all the grammar rules. For japanese however, it explains everything perfectly before a lesson starts when introducing new factors to the language's grammar. I just wish we could learn more kanji than  and  considering I'm on unit 2. vocaloids songs taught me more japanese to be honest, but this app helps with the grammar and I like the way it teaches hiragana, katakana, and kanji.  edit: I found the issue on the kanji-",gave polish app expected know grammar rules japanese however explains everything perfectly lesson starts introducing new factors languages grammar wish could learn kanji considering im unit vocaloids songs taught japanese honest app helps grammar like way teaches hiragana katakana kanji edit found issue kanji
Thanks a lot,thanks lot
"In general good app to start learning a language but experience on Android app is terrible for some time now. The rewards and XP system sometimes is working sontimes not, listening lessons get randomly disabled, missing translations, no option to rearrange words in word bank exercises (on iOS it's possible). Once my premium ends I'm done with this app.",general good app start learning language experience android app terrible time rewards xp system sometimes working sontimes listening lessons get randomly disabled missing translations option rearrange words word bank exercises ios possible premium ends im done app
"I tried this app for a few months, and ultimately learnt nothing but a few words like how to say cat. The app never reinforced those lessons. I recently went back on my courses, and found i didn't understand most, or guessed my answer based on the buttons. Furthermore, i cannot in any way support being AI first, replacing human written courses by AI slop. I wanted to learn, but ended up just wasting time, and making a fool of myself when trying to use said language in any amount.",tried app months ultimately learnt nothing words like say cat app never reinforced lessons recently went back courses found didnt understand guessed answer based buttons furthermore cannot way support ai first replacing human written courses ai slop wanted learn ended wasting time making fool trying use said language amount
Duolingo is useless as a free app with its new energy system. They've basically said leave or pay up.,duolingo useless free app new energy system theyve basically said leave pay
"Low quality app that doesn't actually help with language learning, just yet another annoying app with streaks and micro transactions, and especially after they announced that the company would be AI first, it'd probably be better to learn by talking to a brick wall. Try watching kids shows in the language you wanna learn instead, way more effective, and also relatively free.",low quality app doesnt actually help language learning yet another annoying app streaks micro transactions especially announced company would ai first itd probably better learn talking brick wall try watching kids shows language wanna learn instead way effective also relatively free
"Not good at teaching languages, FIRED employees just to implement AI, I hate how worse it got since then, and the worst thing that just appeared is ""energy "" intead of hearts which I despise. The pronunciation is kinda bad because they dont have humans actually talking, just bad ai voices, the lessons became longer; my boyfriend was doing my mother tongue and the sentences were absolute trash/incorrect, also very pushy ab rating so here you have it. I'll stop using the app, it's gotten so bad",good teaching languages fired employees implement ai hate worse got since worst thing appeared energy intead hearts despise pronunciation kinda bad dont humans actually talking bad ai voices lessons became longer boyfriend mother tongue sentences absolute trashincorrect also pushy ab rating ill stop using app gotten bad
"I like the app, learning Japanese with it pretty well. Unfortunately the trial period could not be activated for me, the support could not confirm if I have a subscription open now, did not address my issue at all and I still cannot use the free trial period for max. #bug",like app learning japanese pretty well unfortunately trial period could activated support could confirm subscription open address issue still cannot use free trial period max
best language learning app ever! I recommend! 5 stars! ,best language learning app ever recommend stars
"Gets way too repetitive, not to mention the AI slop that this horrible company has implemented",gets way repetitive mention ai slop horrible company implemented
removes itself from the main screen,removes main screen
"The Chinese course (and most other courses) are pretty undeveloped so you can't get that far in the language unless it's Spanish Fr*nch German or English. It's fun and somewhat effective but there are things it expects you to know that it doesn't teach you. For example, in the Chinese course (which is the one I'm taking), it doesn't teach you tone rules even though they're really important. Also Duolingo is replacing a ton of workers with Artificial intelligence. But that's all the bad side.",chinese course courses pretty undeveloped cant get far language unless spanish frnch german english fun somewhat effective things expects know doesnt teach example chinese course one im taking doesnt teach tone rules even though theyre really important also duolingo replacing ton workers artificial intelligence thats bad side
"If you're tired of this app with ads and features blocked behind a paywall, you can use Duolingo Revanced instead, which is a better and free alternative. Cheers!",youre tired app ads features blocked behind paywall use duolingo revanced instead better free alternative cheers
This is nice app to learn languages,nice app learn languages
duolingo is very nice I like it very much I'm getting to know Korean coz one day I'm travelling the world,duolingo nice like much im getting know korean coz one day im travelling world
easy learning frrr i highly recommend,easy learning frrr highly recommend
Extremely good,extremely good
it's fun and new things to learn  I Love it,fun new things learn love
Ever since the newest update it has been glitching out. The sound for the listening lessons is wonky and the speech portion cuts you off before you even finish the second word.,ever since newest update glitching sound listening lessons wonky speech portion cuts even finish second word
I'd have never guessed that it's possible to cram so many animations in. If you keep this up the next version will have to include an epilepsy warning. If there was at least a way to turn them off.,id never guessed possible cram many animations keep next version include epilepsy warning least way turn
This is very nice app,nice app
"I just started to learn Japanese, and I liked the tutorials and challenges. It's just amazing to learn any foreign language  5 stars from me ",started learn japanese liked tutorials challenges amazing learn foreign language stars
I. like this. app,like app
"l like the exercises because it builds on what you're learning. However, I suck at speaking Spanish!!",l like exercises builds youre learning however suck speaking spanish
very great to app to learn new words,great app learn new words
it is very very very good app ko learning languages I love it it is very useful for traveling,good app ko learning languages love useful traveling
it's so good ,good
This app is amazing.,app amazing
best app for learning different languages,best app learning different languages
everyone and every leader must download this app. it's beyond amazing,everyone every leader must download app beyond amazing
This app teaches you everything you need,app teaches everything need
this is a excelente opportunity peoples like us.,excelente opportunity peoples like us
please change ads except from that it's the best app,please change ads except best app
"Really nice, I'm progressing well learning Spanish. Wow",really nice im progressing well learning spanish wow
Duolingo is too useful. You can use it without any doubt.,duolingo useful use without doubt
"This program is great but to help kids get better at speaking a different language, just give them unlimited hearts and all the things that Super has. ",program great help kids get better speaking different language give unlimited hearts things super
this is so nice app. and exciting all future. thanks a lot duolingo.,nice app exciting future thanks lot duolingo
Best app ever l might finally get to speak French,best app ever l might finally get speak french
duolingo app is super super super super!!! this app is better than other apps thanks. your are so much good  you understand the Hindi so I am speak in Hindi ok Mareko YouTube se pata chala hai ki duolingo naam ka bhi koi app hota hai  nahi to mujhe to pata hi nahi chalta duolingo app ek bahut jyada acha app hai  thank you ,duolingo app super super super super app better apps thanks much good understand hindi speak hindi ok mareko youtube se pata chala hai ki duolingo naam ka bhi koi app hota hai nahi mujhe pata hi nahi chalta duolingo app ek bahut jyada acha app hai thank
is the vest app! I'm greek and I started English to know more thinks! and yes I learn ^,vest app im greek started english know thinks yes learn
amazing I was learning Japanese and learnt it so fast and fluently,amazing learning japanese learnt fast fluently
good app,good app
learning is absolutely good,learning absolutely good
this is very good app for students and adults it's give us very quiet and perfect English practice or other language so in my opinion it is to good for us thank you Duolingo go app for giving us the knowledge,good app students adults give us quiet perfect english practice language opinion good us thank duolingo go app giving us knowledge
we can learn some language only i wanna to learn punjabi but isn't available,learn language wanna learn punjabi isnt available
Bro download it it's so useful app like what ,bro download useful app like
Use dulling and NOTHING else! it's easy to learn the language your learning I recommend it! ,use dulling nothing else easy learn language learning recommend
very good aap for learning new language,good aap learning new language
This app is my favorite,app favorite
"I am ending my 727 day streak, cancelling my Super membership, and deleting the app after three years straight of being a dedicated fan. I have been using Duolingo since January of 2023, ever since I met my husband. We are incredibly disappointed with their replacing of human employees for cheap and buggy artificial intelligence. This is not how teaching or learning or language should work. Please do not support the use of AI by Duolingo.",ending day streak cancelling super membership deleting app three years straight dedicated fan using duolingo since january ever since met husband incredibly disappointed replacing human employees cheap buggy artificial intelligence teaching learning language work please support use ai duolingo
this app is awesome ,app awesome
Would Best app,would best app
I like Duolingo it's easy to help learn a language,like duolingo easy help learn language
"Excellent so far, but would have been nice to get a lesson for the alphabet to know which letters and letter combinations made which sounds with my languages. Would also be nice to have a glossaries with the word pronunciations and meanings for them. Fun learning tool though, and I would recommend to anyone.",excellent far would nice get lesson alphabet know letters letter combinations made sounds languages would also nice glossaries word pronunciations meanings fun learning tool though would recommend anyone
it is very useful to us.please don't miss it,useful usplease dont miss
This is Good ,good
"it's easy to understand any language i appreciate, thank duoling to help me to learn Japanese",easy understand language appreciate thank duoling help learn japanese
this app is good for leaner every exercise easily to understand when you incorrect it give you chance to correct mistake,app good leaner every exercise easily understand incorrect give chance correct mistake
amazing helping me learn German but one think I don't like is the ads,amazing helping learn german one think dont like ads
I am Telling Current Answers But Audio Not receiving. Thankyou ,telling current answers audio receiving thankyou
my Spanish is way better now,spanish way better
it's help with learning about all language,help learning language
it's very helpful,helpful
"So far, (early stages), easy ⁹ to learn and confidence building.",far early stages easy learn confidence building
I did not know it!!! It's amazing ,know amazing
very good application.,good application
best thing an funny duolingo,best thing funny duolingo
Very good app much better than Iggy poyy this app help to practice other languages,good app much better iggy poyy app help practice languages
"I love it, Duolingo helps a lot and I can contact some friends. Now I can speak a bit more fluently..",love duolingo helps lot contact friends speak bit fluently
Best friend is Duolingo ,best friend duolingo
